image_path,image_width,image_height,image_format,num_targets,classes,has_annotations,video_path,video_name,frame_number
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_0.jpg,1920,1080,JPEG,0,Background,No,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,0
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_124.jpg,1920,1080,JPEG,2,Plane,Yes,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,124
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_149.jpg,1920,1080,JPEG,2,Plane,Yes,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,149
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_16.jpg,1920,1080,JPEG,0,Background,No,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,16
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_174.jpg,1920,1080,JPEG,2,Plane,Yes,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,174
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_199.jpg,1920,1080,JPEG,2,Plane,Yes,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,199
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_224.jpg,1920,1080,JPEG,0,Background,No,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,224
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_24.jpg,1920,1080,JPEG,0,Background,No,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,24
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_32.jpg,1920,1080,JPEG,0,Background,No,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,32
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_48.jpg,1920,1080,JPEG,0,Background,No,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,48
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_49.jpg,1920,1080,JPEG,0,Background,No,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,49
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_64.jpg,1920,1080,JPEG,2,Plane,Yes,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,64
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_74.jpg,1920,1080,JPEG,2,Plane,Yes,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,74
G:\2025-05-14_videos_annotated\images\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf_80.jpg,1920,1080,JPEG,2,Plane,Yes,G:\2025-05-14\A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf.mp4,A03_0000cfa6-1efa-350e-a754-5e23cfe9afaf,80
