imagepath,videopath,video_num_frames,video_classes_present,video_name,video_category,video_total_targets,frame_number,frame_num_targets,split
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_0.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,0,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_124.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,124,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_149.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,149,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_174.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,174,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_199.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,199,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_224.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,224,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_24.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,24,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_49.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,49,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_74.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,74,0,train
G:\2025-05-14_videos_annotated\images\A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8_99.jpg,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,10,,A03_04ce2b6f-ca64-3559-a919-0d7a0111a8c8,background,0,99,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_0.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,0,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_124.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,124,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_149.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,149,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_174.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,174,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_199.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,199,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_224.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,224,0,train
G:\2025-05-14_videos_annotated\images\A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6_24.jpg,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,10,,A03_1483b8cd-f3d8-3edb-9e9e-98a512a8fbf6,background,0,24,0,train
