epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1109.86,0.85683,4.51201,0.2187,0,0,0,0,0.7826,1.31659,0.18444,0.0701079,0.00332134,0.00332134
2,2212.33,1.0255,1.39102,0.22881,0,0,0,0,1.39833,1.93918,0.29269,0.0400947,0.0066415,0.0066415
3,3313.3,1.43639,1.74504,0.35053,0.33333,0.00187,0.1676,0.03352,0.76006,1.11533,0.17569,0.0100684,0.00994846,0.00994846
4,4410.64,1.47387,1.68046,0.3507,0.00254,0.00749,0.00175,0.00035,1.50456,1.49833,0.32605,0.0099406,0.0099406,0.0099406
5,5507.53,1.48362,1.55311,0.35325,0.0127,0.07228,0.00901,0.00112,1.34766,1.32684,0.29841,0.0099208,0.0099208,0.0099208
6,6608.31,1.46726,1.4931,0.35184,0,0,0,0,1.1491,1.35884,0.31446,0.009901,0.009901,0.009901
7,7712,1.34211,1.38842,0.33062,0.01224,0.1199,0.02361,0.01455,1.41918,1.68155,0.32318,0.0098812,0.0098812,0.0098812
8,8808.72,1.38513,1.47316,0.35446,0,0,0,0,1.14008,1.49907,0.36724,0.0098614,0.0098614,0.0098614
9,9905.32,1.3911,1.38118,0.34041,0.03487,0.25104,0.09091,0.03205,1.43193,1.34363,0.33988,0.0098416,0.0098416,0.0098416
10,11005.6,1.49478,1.53425,0.37485,0.03397,0.07603,0.03815,0.00423,1.42406,1.45205,0.32104,0.0098218,0.0098218,0.0098218
11,12104.8,1.42051,1.38965,0.38084,0.01295,0.08727,0.01163,0.00321,1.45389,1.36511,0.32657,0.009802,0.009802,0.009802
12,13205,1.39363,1.43581,0.36949,0.08267,0.10647,0.05858,0.02111,1.37094,1.65769,0.32617,0.0097822,0.0097822,0.0097822
13,14306.9,1.43786,1.41014,0.38647,0.10627,0.12365,0.02432,0.00746,1.49346,1.24802,0.33149,0.0097624,0.0097624,0.0097624
14,15409.4,1.59171,1.4985,0.41205,0.39456,0.07416,0.02395,0.00626,1.29107,1.09603,0.31539,0.0097426,0.0097426,0.0097426
15,16513.3,1.33362,1.24089,0.35521,0.35238,0.01124,0.01397,0.00227,1.37473,1.23226,0.31059,0.0097228,0.0097228,0.0097228
16,17610,1.3632,1.22534,0.36145,0.40155,0.07041,0.04781,0.00707,1.41361,1.23062,0.31476,0.009703,0.009703,0.009703
17,18705,1.32748,1.42312,0.35851,0.13475,0.12158,0.02909,0.00768,1.34142,1.29366,0.31804,0.0096832,0.0096832,0.0096832
18,19798.6,1.27494,1.31817,0.3205,0.09278,0.12552,0.05456,0.00998,1.36705,1.16534,0.32108,0.0096634,0.0096634,0.0096634
19,20896.3,1.5082,1.37508,0.39547,0.02245,0.15361,0.03545,0.00754,1.38448,1.23452,0.32309,0.0096436,0.0096436,0.0096436
20,22001,1.46872,1.33133,0.40134,0.06389,0.07603,0.04168,0.00638,1.37552,1.6379,0.31492,0.0096238,0.0096238,0.0096238
21,23101.6,1.51131,1.3492,0.39731,0.08333,0.01124,0.04384,0.01152,1.39565,1.78446,0.32907,0.009604,0.009604,0.009604
22,24201.1,1.50223,1.36254,0.38796,0.37184,0.06667,0.03861,0.0059,1.35328,1.23614,0.33929,0.0095842,0.0095842,0.0095842
23,25302.1,1.42823,1.27471,0.38481,0.07825,0.07978,0.03899,0.00799,1.32758,1.06619,0.317,0.0095644,0.0095644,0.0095644
24,26403,1.44357,1.38863,0.37205,0.09068,0.09256,0.04094,0.01051,1.25994,1.08994,0.32657,0.0095446,0.0095446,0.0095446
25,27504,1.5897,1.36822,0.42095,0.36562,0.07228,0.01188,0.00272,1.27534,1.14312,0.3,0.0095248,0.0095248,0.0095248
26,28609.7,1.37417,1.26568,0.36991,0.0169,0.1611,0.01906,0.00363,1.35109,1.2189,0.32531,0.009505,0.009505,0.009505
27,29712.1,1.55645,1.4009,0.41501,0.03293,0.25292,0.03893,0.01017,1.35168,1.2669,0.32649,0.0094852,0.0094852,0.0094852
28,30807.2,1.46897,1.38778,0.40328,0.02654,0.17234,0.03143,0.00694,1.27768,1.17313,0.326,0.0094654,0.0094654,0.0094654
