epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1506.88,0.99631,25.3711,0.27558,0.04,0.00714,0.0204,0.00204,0.71565,0.77574,0.18949,0.003324,0.003324,0.003324
2,2994.49,0.9199,1.14766,0.24037,0,0,0,0,0.09494,0.30389,0.04745,0.00664415,0.00664415,0.00664415
3,4476.28,0.71136,1.00129,0.21715,0,0,0,0,0.06875,0.09505,0.0203,0.0099511,0.0099511,0.0099511
4,5961.38,0.25097,0.42042,0.09311,0,0,0,0,0.61267,1.09354,0.25919,0.0099406,0.0099406,0.0099406
5,7454.19,0.64408,1.03179,0.20073,0,0,0,0,1.11531,1.74184,0.27704,0.0099208,0.0099208,0.0099208
6,8946.15,0.75341,1.18659,0.24901,0,0,0,0,1.11713,1.67752,0.33148,0.009901,0.009901,0.009901
7,10430.9,0.34758,0.55142,0.09686,0,0,0,0,1.29133,1.84129,0.28641,0.0098812,0.0098812,0.0098812
8,11923.6,0.84342,1.26708,0.52326,0,0,0,0,1.06025,60.2202,0.25991,0.0098614,0.0098614,0.0098614
9,13420,1.20519,1.81371,0.40814,0,0,0,0,1.09651,1.65543,0.27818,0.0098416,0.0098416,0.0098416
10,14910.9,1.07463,1.5985,0.26762,0,0,0,0,0.96878,1.39621,0.25151,0.0098218,0.0098218,0.0098218
11,16372.3,1.15731,1.74251,0.43129,0,0,0,0,0.93608,1.32146,0.23574,0.009802,0.009802,0.009802
12,17797.8,1.0681,1.57295,0.31986,0,0,0,0,1.24174,1.97779,0.31452,0.0097822,0.0097822,0.0097822
13,19224.5,1.11898,1.70538,0.26069,0,0,0,0,1.17398,1.79134,0.29311,0.0097624,0.0097624,0.0097624
14,20646.9,1.15345,1.77794,0.28164,0,0,0,0,1.28344,1.90724,0.31133,0.0097426,0.0097426,0.0097426
15,22069.9,1.30167,1.90067,0.32318,0,0,0,0,1.31221,1.99678,0.3169,0.0097228,0.0097228,0.0097228
16,23494.8,1.29112,1.866,0.31857,0,0,0,0,0.91874,1.52001,0.21259,0.009703,0.009703,0.009703
17,24920.2,1.07342,1.57418,0.2598,0,0,0,0,1.24678,1.81502,0.29933,0.0096832,0.0096832,0.0096832
18,26342.9,1.29091,1.88776,0.34757,0,0,0,0,1.26368,1.83194,0.29845,0.0096634,0.0096634,0.0096634
19,27764.3,1.08462,1.58189,0.26745,0,0,0,0,1.26352,1.895,0.31513,0.0096436,0.0096436,0.0096436
20,29191,1.24913,1.792,0.29564,0,0,0,0,0.76653,1.33213,0.37698,0.0096238,0.0096238,0.0096238
21,30617.7,0.98774,1.48275,0.36787,0,0,0,0,1.12631,1.67322,0.29011,0.009604,0.009604,0.009604
