epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,547.299,2.28568,48.9484,0.62955,0,0,0,0,0.96239,18.3765,0.29056,0.00330864,0.00330864,0.00330864
2,1066.07,2.4235,5.08649,0.67251,0,0,0,0,0.21426,1.0218,0.07808,0.00662882,0.00662882,0.00662882
3,1585.84,1.40843,1.86016,0.39745,0,0,0,0,2.24994,3.16131,0.71616,0.00993581,0.00993581,0.00993581
4,2111.06,1.50694,1.92028,0.44309,0,0,0,0,2.28036,3.36839,0.78542,0.0099406,0.0099406,0.0099406
5,2638.77,2.46607,2.72684,0.661,0,0,0,0,1.18786,2.0854,0.34035,0.0099208,0.0099208,0.0099208
6,3189.42,2.8235,2.76849,0.72582,0.15262,0.03571,0.01317,0.00346,2.1703,1.95631,0.59087,0.009901,0.009901,0.009901
7,3723.17,2.63787,2.23501,0.67009,0.33594,0.03985,0.04693,0.00829,2.39005,2.6317,0.60734,0.0098812,0.0098812,0.0098812
8,4256.95,2.57629,2.42907,0.68996,0,0,0,0,1.95504,2.88153,0.54166,0.0098614,0.0098614,0.0098614
9,4793.21,3.13652,2.7078,0.81237,0.04692,0.02143,0.00585,0.00075,2.59797,2.68164,0.65751,0.0098416,0.0098416,0.0098416
10,5332.41,3.24399,2.76167,0.79916,0.19766,0.05,0.02256,0.0034,2.72366,3.16487,0.68707,0.0098218,0.0098218,0.0098218
11,5872.66,2.85789,2.30763,0.70625,0.18841,0.05,0.03468,0.00968,2.66154,2.56575,0.70691,0.009802,0.009802,0.009802
12,6413.51,2.86995,2.42259,0.76174,0.12739,0.03571,0.0166,0.00514,2.75549,2.71137,0.71024,0.0097822,0.0097822,0.0097822
13,6955,3.05417,2.68264,0.75336,0.05438,0.05,0.013,0.00213,2.77774,2.65755,0.69695,0.0097624,0.0097624,0.0097624
14,7495.64,3.05799,2.44437,0.77402,0.04367,0.07143,0.03705,0.00982,2.85428,2.15956,0.77214,0.0097426,0.0097426,0.0097426
15,8036.82,3.14798,2.27788,0.7967,0.07383,0.07857,0.04801,0.01082,2.65009,2.32127,0.67833,0.0097228,0.0097228,0.0097228
16,8577.38,2.60424,2.18585,0.6852,0.10329,0.03571,0.02152,0.00667,2.45566,2.37744,0.6417,0.009703,0.009703,0.009703
17,9119.13,3.00314,2.33029,0.77189,0,0,0,0,2.587,4.49901,0.652,0.0096832,0.0096832,0.0096832
18,9661.25,2.95432,2.33552,0.75045,0.13546,0.05,0.03489,0.00711,2.62765,2.38538,0.6873,0.0096634,0.0096634,0.0096634
