epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2284.77,1.03675,32.8847,0.28322,0,0,0,0,0.91791,1.52797,0.20588,0.00332134,0.00332134,0.00332134
2,4610.84,0.39415,0.62863,0.11499,0,0,0,0,0.43393,0.97434,0.12386,0.0066415,0.0066415,0.0066415
3,6952.85,0.65446,1.04617,0.17645,0,0,0,0,1.30842,2.13404,0.28125,0.00994846,0.00994846,0.00994846
4,9308.04,0.72497,1.27336,0.22521,0,0,0,0,0.56449,1.16341,0.17123,0.0099406,0.0099406,0.0099406
5,11633.7,0.19193,0.31183,0.04997,0,0,0,0,0,0,0,0.0099208,0.0099208,0.0099208
6,13981.4,0,0,0,0,0,0,0,0,0,0,0.009901,0.009901,0.009901
7,16296.6,0,0,0,0,0,0,0,0,0,0,0.0098812,0.0098812,0.0098812
8,18636.3,8e-05,0.00014,3e-05,0,0,0,0,0,0,0,0.0098614,0.0098614,0.0098614
9,20971.3,0.0003,0.00063,0.00021,0,0,0,0,0,0,0,0.0098416,0.0098416,0.0098416
10,23299.1,0.00029,0.00048,9e-05,0,0,0,0,0,0,0,0.0098218,0.0098218,0.0098218
11,25614.3,0,0,0,0,0,0,0,0,0,0,0.009802,0.009802,0.009802
12,27931.8,0.00061,0.0016,0.00024,0,0,0,0,0,0,0,0.0097822,0.0097822,0.0097822
13,30262.5,0.00021,0.00037,6e-05,0,0,0,0,0,0,0,0.0097624,0.0097624,0.0097624
14,32585.1,0.0017,0.00284,0.00043,0,0,0,0,0,0,0,0.0097426,0.0097426,0.0097426
15,34911,3e-05,6e-05,1e-05,0,0,0,0,0,0,0,0.0097228,0.0097228,0.0097228
16,37239.3,0,0,0,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
17,39564.7,0,1e-05,0,0,0,0,0,0,0,0,0.0096832,0.0096832,0.0096832
18,41900.2,0.00468,0.00754,0.00154,0,0,0,0,0,0,0,0.0096634,0.0096634,0.0096634
19,44225.1,0,0,0,0,0,0,0,0,0,0,0.0096436,0.0096436,0.0096436
20,46563.6,0.00168,0.00331,0.00043,0,0,0,0,0,0,0,0.0096238,0.0096238,0.0096238
21,48895.1,0,0,0,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
22,51220.1,0.0004,0.0007,9e-05,0,0,0,0,0,0,0,0.0095842,0.0095842,0.0095842
23,53550.7,0.00556,0.01594,0.00261,0,0,0,0,0,0,0,0.0095644,0.0095644,0.0095644
24,55875.6,0.00499,0.00898,0.0011,0,0,0,0,0,0,0,0.0095446,0.0095446,0.0095446
25,58201.3,0.00564,0.01226,0.0024,0,0,0,0,0.00023,0.00059,0.0001,0.0095248,0.0095248,0.0095248
26,60525.9,0.00477,0.01106,0.00162,0,0,0,0,3e-05,0.00014,2e-05,0.009505,0.009505,0.009505
27,62851.7,2e-05,5e-05,1e-05,0,0,0,0,0,1e-05,0,0.0094852,0.0094852,0.0094852
28,65176.7,1e-05,2e-05,1e-05,0,0,0,0,0.03604,0.06927,0.01762,0.0094654,0.0094654,0.0094654
29,67507.1,0,0,0,0,0,0,0,0.0003,0.0005,0.0001,0.0094456,0.0094456,0.0094456
30,69852,1e-05,1e-05,0,0,0,0,0,0,0,0,0.0094258,0.0094258,0.0094258
31,72170,0.00012,0.00033,7e-05,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
32,74495.3,0.02116,0.04301,0.00901,0,0,0,0,0.04509,0.1138,0.02213,0.0093862,0.0093862,0.0093862
33,76818.6,0.40263,0.78572,0.13892,0,0,0,0,1.40199,2.28971,0.31367,0.0093664,0.0093664,0.0093664
34,79140.5,0.79887,1.6605,0.22825,0,0,0,0,1.38917,1.92884,0.30284,0.0093466,0.0093466,0.0093466
35,81460.1,0.86321,1.54844,0.19736,0,0,0,0,1.21504,2.30712,0.28326,0.0093268,0.0093268,0.0093268
