epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,30.099,3.48661,37.3802,0.00282,0.00054,0.23214,0.00034,9e-05,3.57514,10.9701,0.00345,0.009875,0.00329167,0.009875,0.00329167,0.009875,0.00329167,0.009875,0.00329167
2,43.4414,3.51869,7.62072,0.00239,0.35436,0.04901,0.05113,0.01208,3.36577,3.46343,0.00361,0.0198619,0.00662063,0.0198619,0.00662063,0.0198619,0.00662063,0.0198619,0.00662063
3,55.3956,3.75463,3.63121,0.00255,0.22606,0.11161,0.06064,0.01499,3.76405,2.95431,0.00393,0.0298356,0.00994519,0.0298356,0.00994519,0.0298356,0.00994519,0.0298356,0.00994519
4,67.0792,3.84903,2.69817,0.00263,0.09091,0.01339,0.04629,0.01387,2.63772,2.1267,0.00498,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
5,78.6787,3.75012,2.42123,0.00246,0.26018,0.02679,0.01711,0.00251,3.63804,3.51784,0.00514,0.0299208,0.0099736,0.0299208,0.0099736,0.0299208,0.0099736,0.0299208,0.0099736
6,90.2836,3.64464,2.36967,0.00232,0.10301,0.10714,0.02545,0.00444,4.29069,3.00596,0.00468,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967
7,101.903,3.68051,2.38863,0.00244,0.04469,0.03571,0.04297,0.01204,1.38745,1.61484,0.00277,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
8,113.497,3.59291,2.40121,0.00235,0.35632,0.24554,0.16903,0.0398,3.53145,2.67592,0.00328,0.0298614,0.0099538,0.0298614,0.0099538,0.0298614,0.0099538,0.0298614,0.0099538
9,125.187,3.69281,2.35864,0.00231,0.22335,0.125,0.08734,0.02326,3.52111,3.67224,0.00387,0.0298416,0.0099472,0.0298416,0.0099472,0.0298416,0.0099472,0.0298416,0.0099472
10,136.809,3.41251,2.24201,0.00211,0.11111,0.00446,0.0565,0.00565,1.18483,1.46232,0.00314,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
11,148.449,3.39455,2.24489,0.00203,0.37916,0.28571,0.23218,0.05204,3.2457,2.50566,0.0029,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934
12,160.069,3.35072,2.24153,0.00204,0.19618,0.08482,0.05705,0.01945,3.71804,4.44805,0.00367,0.0297822,0.0099274,0.0297822,0.0099274,0.0297822,0.0099274,0.0297822,0.0099274
13,171.802,3.35244,2.03085,0.00201,0.42731,0.27232,0.22847,0.05704,3.27917,2.12341,0.0028,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
14,183.439,3.2491,2.00471,0.00194,0.21773,0.17396,0.08011,0.01836,3.65089,3.0351,0.00408,0.0297426,0.0099142,0.0297426,0.0099142,0.0297426,0.0099142,0.0297426,0.0099142
15,195.073,3.44695,2.0556,0.0021,0.24198,0.21429,0.12344,0.02733,3.36541,2.33646,0.00301,0.0297228,0.0099076,0.0297228,0.0099076,0.0297228,0.0099076,0.0297228,0.0099076
16,206.688,3.22146,1.92954,0.002,0.20968,0.05804,0.11904,0.03814,2.92257,3.59538,0.00363,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
17,218.416,3.20201,1.99451,0.00192,0.30973,0.21429,0.23407,0.06579,3.2279,3.22574,0.00317,0.0296832,0.0098944,0.0296832,0.0098944,0.0296832,0.0098944,0.0296832,0.0098944
18,230.066,3.22391,2.01,0.00183,0.43929,0.28125,0.24413,0.05862,3.02913,2.24666,0.00276,0.0296634,0.0098878,0.0296634,0.0098878,0.0296634,0.0098878,0.0296634,0.0098878
19,241.701,3.16844,1.93158,0.00183,0.5018,0.37946,0.3213,0.07904,3.00725,1.92056,0.00257,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
20,253.331,3.02264,1.83308,0.00172,0.1629,0.32143,0.19426,0.07082,3.27498,3.48085,0.00304,0.0296238,0.0098746,0.0296238,0.0098746,0.0296238,0.0098746,0.0296238,0.0098746
21,265.065,3.06521,1.8313,0.00179,0.44424,0.39286,0.32504,0.09678,2.96375,2.27715,0.00253,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
22,276.693,2.94018,1.7717,0.00166,0.45111,0.375,0.3269,0.0876,3.01762,2.0067,0.00249,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
23,288.311,2.99108,1.79188,0.0017,0.39301,0.34821,0.2684,0.07183,3.18439,2.0714,0.00264,0.0295644,0.0098548,0.0295644,0.0098548,0.0295644,0.0098548,0.0295644,0.0098548
24,299.912,3.06917,1.74655,0.00165,0.34415,0.35268,0.22486,0.056,3.24533,2.32648,0.00288,0.0295446,0.0098482,0.0295446,0.0098482,0.0295446,0.0098482,0.0295446,0.0098482
25,311.619,3.08119,1.70762,0.00173,0.35883,0.34375,0.22966,0.05818,3.42493,2.39372,0.00285,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
26,323.23,3.02448,1.75557,0.00174,0.53474,0.34375,0.37201,0.09622,2.92395,2.39705,0.00237,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
27,334.867,3.13527,1.80753,0.00176,0.37432,0.33036,0.23601,0.0587,3.24087,2.25545,0.00275,0.0294852,0.0098284,0.0294852,0.0098284,0.0294852,0.0098284,0.0294852,0.0098284
28,346.474,2.94082,1.71774,0.00162,0.36101,0.20089,0.22906,0.07175,3.49233,3.74387,0.00326,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
29,358.094,2.90888,1.71166,0.00158,0.42481,0.32589,0.30331,0.09342,2.89467,2.27245,0.00232,0.0294456,0.0098152,0.0294456,0.0098152,0.0294456,0.0098152,0.0294456,0.0098152
30,369.831,2.95665,1.68345,0.00165,0.29495,0.39286,0.2414,0.0723,3.06862,1.84361,0.00257,0.0294258,0.0098086,0.0294258,0.0098086,0.0294258,0.0098086,0.0294258,0.0098086
31,381.461,2.94797,1.6957,0.00161,0.40098,0.44643,0.32177,0.08044,3.01055,1.92499,0.00242,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
32,393.045,2.98889,1.6773,0.00163,0.27957,0.23214,0.21433,0.07234,3.28692,4.47648,0.0027,0.0293862,0.0097954,0.0293862,0.0097954,0.0293862,0.0097954,0.0293862,0.0097954
33,404.675,2.85305,1.6282,0.00157,0.4863,0.34375,0.32111,0.09382,3.03306,2.15528,0.00245,0.0293664,0.0097888,0.0293664,0.0097888,0.0293664,0.0097888,0.0293664,0.0097888
34,416.39,2.91037,1.67578,0.00164,0.44732,0.33604,0.30318,0.09156,3.02072,2.42301,0.00245,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
35,428.006,3.0414,1.66475,0.00172,0.43689,0.39832,0.32177,0.07311,3.105,1.77244,0.00252,0.0293268,0.0097756,0.0293268,0.0097756,0.0293268,0.0097756,0.0293268,0.0097756
