epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,38.2002,3.00978,9.0192,0.00189,0.42645,0.20536,0.1954,0.06925,2.93792,2.70047,0.00332,0.009875,0.00329167,0.009875,0.00329167,0.009875,0.00329167,0.009875,0.00329167
2,59.8481,3.08881,1.99318,0.00182,0.43986,0.26339,0.25499,0.06805,3.11127,2.94882,0.00299,0.0198619,0.00662063,0.0198619,0.00662063,0.0198619,0.00662063,0.0198619,0.00662063
3,80.0969,3.37775,2.42305,0.00203,0.29067,0.24554,0.123,0.02903,3.08304,2.0486,0.0031,0.0298356,0.00994519,0.0298356,0.00994519,0.0298356,0.00994519,0.0298356,0.00994519
4,100.043,3.53685,2.15764,0.0023,0.28956,0.13839,0.09321,0.02649,3.49941,2.8852,0.00452,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802,0.0299406,0.0099802
5,119.977,3.47729,2.22547,0.00219,0.21072,0.17878,0.11401,0.03054,3.45736,2.93018,0.00381,0.0299208,0.0099736,0.0299208,0.0099736,0.0299208,0.0099736,0.0299208,0.0099736
6,139.895,3.43524,2.1606,0.00217,0.16553,0.10714,0.08098,0.01964,3.64201,2.99525,0.00375,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967,0.029901,0.009967
7,159.781,3.82354,2.47874,0.0025,0.28571,0.00893,0.1447,0.02894,0.73436,0.71078,0.00233,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604,0.0298812,0.0099604
8,179.725,3.7023,2.44707,0.00246,0.24352,0.18304,0.13876,0.03331,3.59471,2.76696,0.00328,0.0298614,0.0099538,0.0298614,0.0099538,0.0298614,0.0099538,0.0298614,0.0099538
9,199.661,3.46507,2.23604,0.00209,0.05829,0.14286,0.05921,0.01253,2.71191,2.25623,0.003,0.0298416,0.0099472,0.0298416,0.0099472,0.0298416,0.0099472,0.0298416,0.0099472
10,219.591,3.45345,2.21689,0.00214,0.26374,0.25446,0.15369,0.03805,3.21681,2.30873,0.0028,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
11,239.532,3.31432,2.09301,0.00195,0.34821,0.27232,0.1884,0.04414,3.28661,2.42683,0.0031,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934,0.029802,0.009934
12,259.476,3.21391,1.99432,0.00193,0.25085,0.31696,0.14488,0.03415,3.39274,1.95269,0.00332,0.0297822,0.0099274,0.0297822,0.0099274,0.0297822,0.0099274,0.0297822,0.0099274
13,279.429,3.2269,1.99094,0.00187,0.33687,0.11607,0.11402,0.03279,3.66659,3.60238,0.00424,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
14,299.353,3.22564,1.9492,0.00191,0.0503,0.07589,0.04361,0.01316,1.56201,1.46749,0.00204,0.0297426,0.0099142,0.0297426,0.0099142,0.0297426,0.0099142,0.0297426,0.0099142
15,319.251,3.29647,2.01107,0.00192,0.06857,0.05357,0.06496,0.01817,1.77103,1.32443,0.00297,0.0297228,0.0099076,0.0297228,0.0099076,0.0297228,0.0099076,0.0297228,0.0099076
16,339.447,3.19712,1.87844,0.00197,0.42094,0.27679,0.19885,0.04373,3.32676,2.72548,0.00304,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
17,359.394,3.17928,1.90667,0.00187,0.15873,0.3125,0.19163,0.05734,2.80447,3.25245,0.00262,0.0296832,0.0098944,0.0296832,0.0098944,0.0296832,0.0098944,0.0296832,0.0098944
18,379.322,3.1318,1.95501,0.00178,0.40867,0.04911,0.06342,0.01914,1.47023,1.4878,0.00256,0.0296634,0.0098878,0.0296634,0.0098878,0.0296634,0.0098878,0.0296634,0.0098878
19,399.25,3.15763,1.9187,0.00183,0.27024,0.1875,0.16286,0.04428,3.3723,3.39155,0.00342,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
20,419.185,3.085,1.78644,0.00176,0.42628,0.22321,0.22884,0.07357,3.15378,3.20901,0.00351,0.0296238,0.0098746,0.0296238,0.0098746,0.0296238,0.0098746,0.0296238,0.0098746
21,439.178,3.09766,1.81452,0.0018,0.37953,0.35714,0.26118,0.07455,3.05817,2.15905,0.00242,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
22,459.168,2.95794,1.79813,0.00166,0.52167,0.43333,0.3786,0.10852,2.77319,2.12916,0.00235,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
23,479.158,2.9748,1.75902,0.00166,0.36647,0.35268,0.26816,0.06662,3.22304,1.9767,0.00271,0.0295644,0.0098548,0.0295644,0.0098548,0.0295644,0.0098548,0.0295644,0.0098548
24,499.107,3.09161,1.85403,0.00167,0.53384,0.32143,0.33128,0.09653,2.93672,2.05888,0.00248,0.0295446,0.0098482,0.0295446,0.0098482,0.0295446,0.0098482,0.0295446,0.0098482
25,519.095,3.11418,1.82795,0.00173,0.36366,0.25,0.24206,0.06947,2.95234,2.90176,0.00266,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
26,539.049,2.99565,1.83148,0.00172,0.45727,0.41071,0.30315,0.08179,2.87697,2.05579,0.00236,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
27,558.997,3.05883,1.81005,0.00172,0.46126,0.38839,0.30222,0.08709,2.85425,2.10136,0.00239,0.0294852,0.0098284,0.0294852,0.0098284,0.0294852,0.0098284,0.0294852,0.0098284
28,578.964,2.98873,1.75377,0.00165,0.54156,0.40625,0.40591,0.11484,2.806,1.94103,0.00231,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
29,598.976,2.99904,1.86211,0.00164,0.44037,0.40047,0.26325,0.06373,2.98776,1.98462,0.00246,0.0294456,0.0098152,0.0294456,0.0098152,0.0294456,0.0098152,0.0294456,0.0098152
30,618.938,3.01479,1.70784,0.0017,0.33048,0.34375,0.25466,0.05863,3.02955,2.24247,0.00254,0.0294258,0.0098086,0.0294258,0.0098086,0.0294258,0.0098086,0.0294258,0.0098086
31,638.889,2.90122,1.70181,0.0016,0.41981,0.29464,0.27205,0.07104,3.08561,2.33986,0.00268,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
32,658.851,2.92689,1.7487,0.00161,0.34717,0.375,0.27676,0.0661,3.11056,2.48021,0.00262,0.0293862,0.0097954,0.0293862,0.0097954,0.0293862,0.0097954,0.0293862,0.0097954
33,678.829,2.87091,1.65519,0.00157,0.35767,0.28125,0.24247,0.07097,3.2288,2.86429,0.00276,0.0293664,0.0097888,0.0293664,0.0097888,0.0293664,0.0097888,0.0293664,0.0097888
34,698.767,2.93826,1.74744,0.00168,0.16699,0.38839,0.17917,0.05448,3.1134,3.57659,0.00268,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
35,718.786,2.93129,1.72463,0.00161,0.4833,0.44196,0.38433,0.10476,2.85799,1.84843,0.00231,0.0293268,0.0097756,0.0293268,0.0097756,0.0293268,0.0097756,0.0293268,0.0097756
36,738.699,2.9265,1.69329,0.00161,0.13793,0.17857,0.13404,0.04119,3.52092,4.59338,0.00334,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
37,758.667,2.88121,1.68117,0.00149,0.31088,0.32143,0.20572,0.05935,3.17979,2.49638,0.00303,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
38,778.638,2.95316,1.73293,0.00163,0.3301,0.45536,0.2778,0.08487,2.75539,1.90947,0.00227,0.0292674,0.0097558,0.0292674,0.0097558,0.0292674,0.0097558,0.0292674,0.0097558
39,798.579,2.96813,1.54681,0.00164,0.54704,0.45089,0.38328,0.11657,2.81916,1.83388,0.00215,0.0292476,0.0097492,0.0292476,0.0097492,0.0292476,0.0097492,0.0292476,0.0097492
40,818.578,2.86089,1.64951,0.00155,0.46498,0.38839,0.30858,0.09288,2.89363,1.88849,0.00232,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
41,838.543,2.8192,1.56364,0.00154,0.58171,0.42411,0.39714,0.10595,2.72472,2.01455,0.0022,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
42,858.489,2.8524,1.65664,0.00153,0.38826,0.3125,0.27405,0.07044,3.14814,2.56767,0.00257,0.0291882,0.0097294,0.0291882,0.0097294,0.0291882,0.0097294,0.0291882,0.0097294
43,878.486,2.77252,1.67256,0.00145,0.49274,0.42064,0.35962,0.11346,2.59997,2.25617,0.00209,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
44,898.434,2.89823,1.58679,0.00152,0.5641,0.46875,0.45099,0.1283,2.67768,1.74304,0.00214,0.0291486,0.0097162,0.0291486,0.0097162,0.0291486,0.0097162,0.0291486,0.0097162
45,918.453,2.81569,1.54841,0.00145,0.57566,0.40179,0.38891,0.11572,2.87996,2.14034,0.00228,0.0291288,0.0097096,0.0291288,0.0097096,0.0291288,0.0097096,0.0291288,0.0097096
46,938.359,2.82062,1.59716,0.00148,0.37168,0.1875,0.24258,0.07882,2.89615,4.93744,0.00252,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
47,958.312,2.75933,1.6013,0.00147,0.38661,0.34821,0.26105,0.07694,2.9064,1.96722,0.00241,0.0290892,0.0096964,0.0290892,0.0096964,0.0290892,0.0096964,0.0290892,0.0096964
48,978.274,2.79271,1.61938,0.00145,0.39909,0.41964,0.31833,0.09857,2.85603,1.90879,0.00229,0.0290694,0.0096898,0.0290694,0.0096898,0.0290694,0.0096898,0.0290694,0.0096898
49,998.221,2.78203,1.52365,0.00144,0.39031,0.35268,0.27827,0.07954,3.06625,2.24929,0.00251,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
50,1018.19,2.78521,1.52463,0.00145,0.33667,0.26786,0.21672,0.07064,3.04934,3.37537,0.0025,0.0290298,0.0096766,0.0290298,0.0096766,0.0290298,0.0096766,0.0290298,0.0096766
