epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,53.9609,3.19295,9.23386,0.00204,0.39771,0.29286,0.28505,0.07522,2.57218,1.80574,0.00209,0.00992593,0.00330864,0.00992593,0.00330864,0.00992593,0.00330864,0.00992593,0.00330864
2,89.9488,3.3319,2.30472,0.00195,0.0434,0.04286,0.01833,0.00307,2.03076,1.43013,0.00249,0.0198865,0.00662882,0.0198865,0.00662882,0.0198865,0.00662882,0.0198865,0.00662882
3,123.862,3.67182,2.68206,0.00241,0,0,0,0,3.55876,4.12886,0.00389,0.0298074,0.00993581,0.0298074,0.00993581,0.0298074,0.00993581,0.0298074,0.00993581
4,156.982,3.77708,3.40295,0.00302,0,0,0,0,3.26949,4.42371,0.00411,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
5,190.202,3.76891,3.41551,0.00304,0.00868,0.02857,0.00599,0.00104,3.53221,3.83329,0.00418,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
6,223.444,4.02593,3.6201,0.00319,0.00347,0.07143,0.0052,0.00125,3.65924,3.21385,0.00433,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
7,256.722,4.12802,3.38477,0.00317,0.02416,0.03571,0.00523,0.00087,3.68043,3.2018,0.00399,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812,0.0296436,0.0098812
8,289.847,3.9868,3.31977,0.00292,0.00597,0.05714,0.00651,0.00148,2.3574,2.2534,0.0025,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614,0.0295842,0.0098614
9,323.05,4.11319,3.30632,0.00291,0.01449,0.00714,0.0075,0.00075,3.30154,3.92484,0.00393,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416,0.0295248,0.0098416
10,356.347,4.07357,3.37878,0.00292,0.08274,0.09286,0.01589,0.00231,3.28022,4.0161,0.00293,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218,0.0294654,0.0098218
11,389.584,4.09949,3.40063,0.00279,0.05,0.02143,0.02626,0.00606,2.97297,3.16772,0.00296,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
12,422.738,3.99305,3.1421,0.00267,0.09034,0.05,0.02105,0.00533,3.27792,2.4871,0.00278,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822,0.0293466,0.0097822
13,456.018,3.81684,2.94508,0.00245,0.27918,0.16429,0.08523,0.02152,3.28684,2.16284,0.00285,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624,0.0292872,0.0097624
14,489.233,3.64934,2.80877,0.00241,0,0,0,0,0.88945,0.92937,0.00138,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
15,522.478,3.79811,2.68714,0.00236,0.16252,0.14286,0.05493,0.00901,3.38574,2.03521,0.00309,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
16,555.639,3.76367,2.55692,0.00239,0.11347,0.08571,0.04499,0.01005,3.19726,2.23892,0.00263,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
17,588.92,3.91021,2.88066,0.00248,0.19369,0.15,0.07891,0.01625,3.12534,2.10504,0.00254,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
18,622.157,3.66201,2.61878,0.00221,0.00234,0.01429,0.00119,0.00042,1.20258,1.10159,0.00169,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
19,655.4,3.52275,2.49441,0.00216,0.23896,0.20714,0.09978,0.01949,3.08164,1.87683,0.00251,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
20,688.502,3.63004,2.61582,0.0022,0.17527,0.22143,0.09044,0.02348,2.9272,2.00979,0.00233,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
21,721.789,3.74391,2.42962,0.00216,0.23269,0.15714,0.06982,0.0157,3.15999,1.98789,0.00261,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
22,755.038,3.57076,2.33956,0.00211,0.19818,0.27143,0.10785,0.02411,2.84108,1.81765,0.00221,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
23,788.317,3.54816,2.36568,0.00205,0.00753,0.03571,0.00396,0.00087,2.3525,2.75973,0.00205,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644,0.0286932,0.0095644
24,821.367,3.53183,2.46503,0.00216,0,0,0,0,1.4465,2.0832,0.00161,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446,0.0286338,0.0095446
25,854.624,3.59229,2.27552,0.00212,0.0431,0.10714,0.02944,0.00925,3.10513,4.12898,0.00259,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248,0.0285744,0.0095248
26,887.935,3.49918,2.38414,0.00209,0.18384,0.2,0.08368,0.02222,2.86256,1.93536,0.00239,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
27,921.215,3.39222,2.29525,0.00203,0.29815,0.26096,0.17177,0.04346,2.66873,1.94966,0.00208,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852,0.0284556,0.0094852
28,954.395,3.43374,2.2688,0.00192,0.34775,0.40714,0.24346,0.05405,2.56382,1.89059,0.00209,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654,0.0283962,0.0094654
29,987.66,3.34795,2.20565,0.00191,0.19645,0.20957,0.10233,0.02006,2.97887,2.1455,0.00238,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456,0.0283368,0.0094456
30,1020.91,3.32787,2.20455,0.00204,0.17263,0.24286,0.08429,0.01988,2.96187,1.82373,0.00234,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258,0.0282774,0.0094258
31,1054.21,3.18811,2.13952,0.00176,0.34954,0.36082,0.22408,0.05779,2.64485,1.64781,0.00208,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
32,1087.38,3.2881,2.15726,0.00185,0.31317,0.29286,0.18324,0.04777,2.61007,2.18103,0.00206,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862,0.0281586,0.0093862
33,1120.62,3.31652,2.21217,0.00193,0.11986,0.10118,0.05322,0.01322,2.83716,2.80558,0.00253,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664,0.0280992,0.0093664
34,1153.91,3.3901,2.28669,0.00204,0.29371,0.26429,0.17238,0.04138,2.81337,1.71177,0.00231,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466,0.0280398,0.0093466
35,1187.18,3.3345,2.14676,0.00191,0.19405,0.25714,0.11359,0.03221,2.68997,2.67942,0.00224,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268,0.0279804,0.0093268
36,1220.3,3.3883,2.20878,0.00197,0,0,0,0,0.88572,1.24402,0.00151,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
37,1253.57,3.34558,2.12675,0.00191,0.37366,0.32143,0.23043,0.06129,2.81224,1.62285,0.00231,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872,0.0278616,0.0092872
38,1286.83,3.37293,2.3272,0.00193,0.40319,0.42948,0.2924,0.05994,2.53102,1.65167,0.00206,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674,0.0278022,0.0092674
39,1320.05,3.34393,2.12762,0.00199,0.16928,0.22143,0.10728,0.0267,2.87333,2.12737,0.00242,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476,0.0277428,0.0092476
40,1353.22,3.1951,2.21567,0.00175,0.18205,0.32143,0.13779,0.03168,2.77725,2.10827,0.00233,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278,0.0276834,0.0092278
41,1386.51,3.11602,2.07274,0.00181,0.35003,0.42143,0.26908,0.06178,2.56182,1.69205,0.00208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
42,1419.73,3.11204,1.94758,0.00174,0.2304,0.28571,0.18861,0.04761,2.56335,2.2763,0.00218,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882,0.0275646,0.0091882
43,1453.02,3.12462,1.95952,0.00175,0.33986,0.34286,0.20877,0.05261,2.64327,1.7412,0.00221,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
44,1486.18,3.12498,1.97634,0.00171,0.24765,0.23571,0.14937,0.04332,2.69688,2.60282,0.00227,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486,0.0274458,0.0091486
45,1519.46,3.10166,1.86695,0.00173,0.26067,0.3,0.17153,0.04535,2.72682,1.70634,0.00222,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
46,1552.7,3.14908,2.01987,0.00176,0.09091,0.00714,0.04657,0.01382,2.40275,3.88462,0.00247,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
47,1586,3.20662,1.93746,0.00187,0.27933,0.32143,0.19906,0.05918,2.55555,1.90724,0.0021,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
